YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2021,07.03,1.Pro,GP Industria & Artigianato,M. Vansevenant,https://firstcycling.com/race.php?r=263&y=2021
2021,17.03,1.Pro,Nokere Koerse,L. Robeet,https://firstcycling.com/race.php?r=122&y=2021
2021,19.03,1.Pro,Bredene Koksijde Classic,T. Merlier,https://firstcycling.com/race.php?r=123&y=2021
2021,03.04,1.Pro,GP Miguel Indurain,A. Valverde,https://firstcycling.com/race.php?r=48&y=2021
2021,07.04,1.Pro,Scheldeprijs,J. Philipsen,https://firstcycling.com/race.php?r=56&y=2021
2021,11.04-18.04,2.Pro,Tour of Türkiye,J. Diaz,https://firstcycling.com/race.php?r=152&y=2021
2021,14.04-18.04,2.Pro,Volta Comunitat Valenciana,S. Küng,https://firstcycling.com/race.php?r=319&y=2021
2021,14.04,1.Pro,Brabantse Pijl,T. Pidcock,https://firstcycling.com/race.php?r=77&y=2021
2021,19.04-23.04,2.Pro,Tour of the Alps,S. Yates,https://firstcycling.com/race.php?r=62&y=2021
2021,05.05-09.05,2.Pro,Volta ao Algarve,J. Rodrigues,https://firstcycling.com/race.php?r=107&y=2021
2021,16.05,1.Pro,Tro-Bro Leon,C. Swift,https://firstcycling.com/race.php?r=148&y=2021
2021,18.05-22.05,2.Pro,Vuelta a Andalucía,M. López,https://firstcycling.com/race.php?r=110&y=2021
2021,27.05-30.05,2.Pro,Boucles de la Mayenne,A. Démare,https://firstcycling.com/race.php?r=343&y=2021
2021,05.06,1.Pro,Dwars door het Hageland,R. Tiller,https://firstcycling.com/race.php?r=425&y=2021
2021,09.06-13.06,2.Pro,Tour of Slovenia,T. Pogacar,https://firstcycling.com/race.php?r=211&y=2021
2021,09.06-13.06,2.Pro,Belgium Tour,R. Evenepoel,https://firstcycling.com/race.php?r=60&y=2021
2021,20.07-24.07,2.Pro,Tour de Wallonie,Q. Simmons,https://firstcycling.com/race.php?r=193&y=2021
2021,03.08-07.08,2.Pro,Vuelta a Burgos,M. Landa,https://firstcycling.com/race.php?r=192&y=2021
2021,05.08-08.08,2.Pro,Arctic Race of Norway,B. Hermans,https://firstcycling.com/race.php?r=259&y=2021
2021,10.08-14.08,2.Pro,PostNord Tour of Denmark,R. Evenepoel,https://firstcycling.com/race.php?r=32&y=2021
2021,19.08-22.08,2.Pro,Tour of Norway,E. Hayter,https://firstcycling.com/race.php?r=71&y=2021
2021,26.08-29.08,2.Pro,Deutschland Tour,N. Politt,https://firstcycling.com/race.php?r=36&y=2021
2021,28.08,1.Pro,Brussels Classic,R. Evenepoel,https://firstcycling.com/race.php?r=64&y=2021
2021,05.09-12.09,2.Pro,Tour of Britain,W. van Aert,https://firstcycling.com/race.php?r=45&y=2021
2021,12.09,1.Pro,GP de Fourmies,E. Viviani,https://firstcycling.com/race.php?r=92&y=2021
2021,14.09-18.09,2.Pro,Tour de Luxembourg,J. Almeida,https://firstcycling.com/race.php?r=37&y=2021
2021,15.09,1.Pro,Grand Prix de Wallonie,C. Laporte,https://firstcycling.com/race.php?r=93&y=2021
2021,16.09,1.Pro,Coppa Sabatini,M. Valgren,https://firstcycling.com/race.php?r=160&y=2021
2021,18.09,1.Pro,SUPER 8 Classic,F. Sénéchal,https://firstcycling.com/race.php?r=168&y=2021
2021,21.09,1.Pro,GP de Denain,J. Philipsen,https://firstcycling.com/race.php?r=146&y=2021
2021,29.09,1.Pro,Circuit Franco-Belge,F. Jakobsen,https://firstcycling.com/race.php?r=231&y=2021
2021,02.10,1.Pro,Giro dell'Emilia,P. Roglic,https://firstcycling.com/race.php?r=29&y=2021
2021,03.10,1.Pro,Münsterland Giro,M. Cavendish,https://firstcycling.com/race.php?r=158&y=2021
2021,04.10,1.Pro,Coppa Bernocchi,R. Evenepoel,https://firstcycling.com/race.php?r=196&y=2021
2021,05.10,1.Pro,Tre Valli Varesine,A. De Marchi,https://firstcycling.com/race.php?r=190&y=2021
2021,06.10,1.Pro,Milano - Torino,P. Roglic,https://firstcycling.com/race.php?r=89&y=2021
2021,07.10,1.Pro,Gran Piemonte,M. Walls,https://firstcycling.com/race.php?r=61&y=2021
2021,10.10,1.Pro,Paris - Tours,A. Démare,https://firstcycling.com/race.php?r=28&y=2021
2021,16.10,1.Pro,GP de Plumelec-Morbihan,A. Marit,https://firstcycling.com/race.php?r=180&y=2021
2022,02.02-06.02,2.Pro,Volta Comunitat Valenciana,A. Vlasov,https://firstcycling.com/race.php?r=319&y=2022
2022,10.02-15.02,2.Pro,Tour of Oman,J. Hirt,https://firstcycling.com/race.php?r=57&y=2022
2022,10.02-13.02,2.Pro,Tour de La Provence,N. Quintana,https://firstcycling.com/race.php?r=4396&y=2022
2022,13.02,1.Pro,Clasica de Almeria,A. Kristoff,https://firstcycling.com/race.php?r=129&y=2022
2022,16.02-20.02,2.Pro,Vuelta a Andalucía,W. Poels,https://firstcycling.com/race.php?r=110&y=2022
2022,16.02-20.02,2.Pro,Volta ao Algarve,R. Evenepoel,https://firstcycling.com/race.php?r=107&y=2022
2022,26.02,1.Pro,Faun-Ardèche Classic,B. McNulty,https://firstcycling.com/race.php?r=121&y=2022
2022,27.02,1.Pro,Faun Drome Classic,J. Vingegaard,https://firstcycling.com/race.php?r=432&y=2022
2022,27.02,1.Pro,Kuurne-Brussel-Kuurne,F. Jakobsen,https://firstcycling.com/race.php?r=84&y=2022
2022,02.03,1.Pro,Trofeo Laigueglia,J. Polanc,https://firstcycling.com/race.php?r=112&y=2022
2022,16.03,1.Pro,Milano - Torino,M. Cavendish,https://firstcycling.com/race.php?r=89&y=2022
2022,16.03,1.Pro,Nokere Koerse,T. Merlier,https://firstcycling.com/race.php?r=122&y=2022
2022,17.03,1.Pro,GP de Denain,M. Walscheid,https://firstcycling.com/race.php?r=146&y=2022
2022,18.03,1.Pro,Bredene Koksijde Classic,P. Ackermann,https://firstcycling.com/race.php?r=123&y=2022
2022,27.03,1.Pro,GP Industria & Artigianato,D. Ulissi,https://firstcycling.com/race.php?r=263&y=2022
2022,02.04,1.Pro,GP Miguel Indurain,W. Barguil,https://firstcycling.com/race.php?r=48&y=2022
2022,06.04,1.Pro,Scheldeprijs,A. Kristoff,https://firstcycling.com/race.php?r=56&y=2022
2022,10.04-17.04,2.Pro,Tour of Türkiye,P. Bevin,https://firstcycling.com/race.php?r=152&y=2022
2022,13.04,1.Pro,Brabantse Pijl,M. Sheffield,https://firstcycling.com/race.php?r=77&y=2022
2022,18.04-22.04,2.Pro,Tour of the Alps,R. Bardet,https://firstcycling.com/race.php?r=62&y=2022
2022,03.05-08.05,2.Pro,4 Jours de Dunkerque,P. Gilbert,https://firstcycling.com/race.php?r=175&y=2022
2022,14.05,1.Pro,GP de Plumelec-Morbihan,J. Simon,https://firstcycling.com/race.php?r=180&y=2022
2022,15.05,1.Pro,Tro-Bro Leon,H. Hofstetter,https://firstcycling.com/race.php?r=148&y=2022
2022,24.05-29.05,2.Pro,Tour of Norway,R. Evenepoel,https://firstcycling.com/race.php?r=71&y=2022
2022,26.05-29.05,2.Pro,Boucles de la Mayenne,B. Thomas,https://firstcycling.com/race.php?r=343&y=2022
2022,05.06,1.Pro,Brussels Classic,T. van der Hoorn,https://firstcycling.com/race.php?r=64&y=2022
2022,08.06-12.06,2.Pro,ZLM Tour,O. Kooij,https://firstcycling.com/race.php?r=213&y=2022
2022,11.06,1.Pro,Dwars door het Hageland,O. Riesebeek,https://firstcycling.com/race.php?r=425&y=2022
2022,15.06-19.06,2.Pro,Tour of Slovenia,T. Pogacar,https://firstcycling.com/race.php?r=211&y=2022
2022,15.06-19.06,2.Pro,Belgium Tour,M. Schmid,https://firstcycling.com/race.php?r=60&y=2022
2022,23.07-27.07,2.Pro,Tour de Wallonie,R. Stannard,https://firstcycling.com/race.php?r=193&y=2022
2022,02.08-06.08,2.Pro,Vuelta a Burgos,P. Sivakov,https://firstcycling.com/race.php?r=192&y=2022
2022,10.08,1.Pro,Circuit Franco-Belge,A. Kristoff,https://firstcycling.com/race.php?r=231&y=2022
2022,11.08-14.08,2.Pro,Arctic Race of Norway,A. Leknessund,https://firstcycling.com/race.php?r=259&y=2022
2022,16.08-20.08,2.Pro,PostNord Tour of Denmark,C. Laporte,https://firstcycling.com/race.php?r=32&y=2022
2022,24.08-28.08,2.Pro,Deutschland Tour,A. Yates,https://firstcycling.com/race.php?r=36&y=2022
2022,04.09-11.09,2.Pro,Tour of Britain,G. Serrano,https://firstcycling.com/race.php?r=45&y=2022
2022,04.09,1.Pro,Maryland Cycling Classic,S. Vanmarcke,https://firstcycling.com/race.php?r=13191&y=2022
2022,11.09,1.Pro,GP de Fourmies,C. Ewan,https://firstcycling.com/race.php?r=92&y=2022
2022,13.09-17.09,2.Pro,Tour de Luxembourg,M. Skjelmose,https://firstcycling.com/race.php?r=37&y=2022
2022,14.09,1.Pro,Grand Prix de Wallonie,M. van der Poel,https://firstcycling.com/race.php?r=93&y=2022
2022,15.09,1.Pro,Coppa Sabatini,D. Martinez,https://firstcycling.com/race.php?r=160&y=2022
2022,17.09,1.Pro,SUPER 8 Classic,J. Meeus,https://firstcycling.com/race.php?r=168&y=2022
2022,01.10,1.Pro,Giro dell'Emilia,E. Mas,https://firstcycling.com/race.php?r=29&y=2022
2022,03.10,1.Pro,Coppa Bernocchi,D. Ballerini,https://firstcycling.com/race.php?r=196&y=2022
2022,03.10,1.Pro,Münsterland Giro,O. Kooij,https://firstcycling.com/race.php?r=158&y=2022
2022,04.10,1.Pro,Tre Valli Varesine,T. Pogacar,https://firstcycling.com/race.php?r=190&y=2022
2022,06.10,1.Pro,Gran Piemonte,I. García Cortina,https://firstcycling.com/race.php?r=61&y=2022
2022,09.10,1.Pro,Paris - Tours,A. Démare,https://firstcycling.com/race.php?r=28&y=2022
2022,11.10-18.10,2.Pro,Tour de Langkawi,I. Sosa,https://firstcycling.com/race.php?r=128&y=2022
2022,16.10,1.Pro,Japan Cup,N. Powless,https://firstcycling.com/race.php?r=95&y=2022
2023,22.01-29.01,2.Pro,Vuelta a San Juan,M. López,https://firstcycling.com/race.php?r=5247&y=2023
2023,01.02-05.02,2.Pro,Volta Comunitat Valenciana,R. Costa,https://firstcycling.com/race.php?r=319&y=2023
2023,11.02-15.02,2.Pro,Tour of Oman,M. Jorgenson,https://firstcycling.com/race.php?r=57&y=2023
2023,12.02,1.Pro,Clasica de Almeria,M. Moschetti,https://firstcycling.com/race.php?r=129&y=2023
2023,15.02-19.02,2.Pro,Vuelta a Andalucía,T. Pogacar,https://firstcycling.com/race.php?r=110&y=2023
2023,15.02-19.02,2.Pro,Volta ao Algarve,D. Martinez,https://firstcycling.com/race.php?r=107&y=2023
2023,25.02,1.Pro,Faun-Ardèche Classic,J. Alaphilippe,https://firstcycling.com/race.php?r=121&y=2023
2023,26.02,1.Pro,Faun Drome Classic,A. Perez,https://firstcycling.com/race.php?r=432&y=2023
2023,26.02,1.Pro,Kuurne-Brussel-Kuurne,T. Benoot,https://firstcycling.com/race.php?r=84&y=2023
2023,01.03,1.Pro,Trofeo Laigueglia,N. Peters,https://firstcycling.com/race.php?r=112&y=2023
2023,15.03,1.Pro,Milano - Torino,A. de Kleijn,https://firstcycling.com/race.php?r=89&y=2023
2023,15.03,1.Pro,Nokere Koerse,T. Merlier,https://firstcycling.com/race.php?r=122&y=2023
2023,16.03,1.Pro,GP de Denain,S. Molano,https://firstcycling.com/race.php?r=146&y=2023
2023,17.03,1.Pro,Bredene Koksijde Classic,G. Thijssen,https://firstcycling.com/race.php?r=123&y=2023
2023,26.03,1.Pro,GP Industria & Artigianato,B. Healy,https://firstcycling.com/race.php?r=263&y=2023
2023,01.04,1.Pro,GP Miguel Indurain,I. Izagirre,https://firstcycling.com/race.php?r=48&y=2023
2023,05.04,1.Pro,Scheldeprijs,J. Philipsen,https://firstcycling.com/race.php?r=56&y=2023
2023,12.04,1.Pro,Brabantse Pijl,D. Godon,https://firstcycling.com/race.php?r=77&y=2023
2023,17.04-21.04,2.Pro,Tour of the Alps,T. Geoghegan Hart,https://firstcycling.com/race.php?r=62&y=2023
2023,06.05,1.Pro,GP de Plumelec-Morbihan,A. De Lie,https://firstcycling.com/race.php?r=180&y=2023
2023,07.05,1.Pro,Tro-Bro Leon,G. Nizzolo,https://firstcycling.com/race.php?r=148&y=2023
2023,10.05-14.05,2.Pro,Tour de Hongrie,M. Hirschi,https://firstcycling.com/race.php?r=765&y=2023
2023,16.05-21.05,2.Pro,4 Jours de Dunkerque,R. Grégoire,https://firstcycling.com/race.php?r=175&y=2023
2023,25.05-28.05,2.Pro,Boucles de la Mayenne,O. Lazkano,https://firstcycling.com/race.php?r=343&y=2023
2023,26.05-29.05,2.Pro,Tour of Norway,B. Tulett,https://firstcycling.com/race.php?r=71&y=2023
2023,04.06,1.Pro,Brussels Classic,A. Démare,https://firstcycling.com/race.php?r=64&y=2023
2023,07.06-11.06,2.Pro,ZLM Tour,O. Kooij,https://firstcycling.com/race.php?r=213&y=2023
2023,10.06,1.Pro,Dwars door het Hageland,R. Tiller,https://firstcycling.com/race.php?r=425&y=2023
2023,13.06,1.Pro,CIC - Mont Ventoux,L. Martinez,https://firstcycling.com/race.php?r=10459&y=2023
2023,14.06-18.06,2.Pro,Tour of Slovenia,F. Zana,https://firstcycling.com/race.php?r=211&y=2023
2023,14.06-18.06,2.Pro,Belgium Tour,M. van der Poel,https://firstcycling.com/race.php?r=60&y=2023
2023,09.07-16.07,2.Pro,Tour of Qinghai Lake,H. Mulubrhan,https://firstcycling.com/race.php?r=127&y=2023
2023,22.07-26.07,2.Pro,Tour de Wallonie,F. Ganna,https://firstcycling.com/race.php?r=193&y=2023
2023,15.08-19.08,2.Pro,Vuelta a Burgos,P. Roglic,https://firstcycling.com/race.php?r=192&y=2023
2023,15.08-19.08,2.Pro,PostNord Tour of Denmark,M. Pedersen,https://firstcycling.com/race.php?r=32&y=2023
2023,17.08-20.08,2.Pro,Arctic Race of Norway,S. Williams,https://firstcycling.com/race.php?r=259&y=2023
2023,23.08-27.08,2.Pro,Deutschland Tour,I. Van Wilder,https://firstcycling.com/race.php?r=36&y=2023
2023,03.09-10.09,2.Pro,Tour of Britain,W. van Aert,https://firstcycling.com/race.php?r=45&y=2023
