index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
15729,803,Engels  Addy,1977,Netherlands,Quick Step - Innergetic,113,753,2006
15770,841,Gatto  Oscar,1985,Italy,Zalf Desiree Fior,106,1973,2006
15775,850,Sabatini  Fabio,1985,Italy,Team Milram,105,122,2006
15776,850,Lancaster  Brett,1979,Australia,Ceramica Panaria - Navigare,105,128,2006
15827,901,Velits  Martin,1985,Slovakia,Team Konica Minolta,97,703,2006
15833,909,Cataldo  Dario,1985,Italy,,96,532,2006
15836,909,Coppel  Jérôme,1986,France,CR4C Roanne,96,99,2006
15874,946,Lund  Anders,1985,Denmark,Team GLS,91,720,2006
15882,957,Delage  Mickaël,1985,France,Française des Jeux,90,155,2006
15919,994,El Fares  Julien,1985,France,A.V.C. Aix-en-Provence,83,345,2006
15929,1003,Ruijgh  Rob,1986,Netherlands,Rabobank CT,82,936,2006
15955,1029,Verdugo  Gorka,1978,Spain,Euskaltel-Euskadi,79,61,2006
15999,1074,Barta  Jan,1984,Czech Republic,Elk Haus - Simplon,72,990,2006
16008,1082,Herrada  Jose,1985,Spain,Vina Magna - Cropu,71,1323,2006
16035,1105,Marczynski  Tomasz,1984,Poland,Ceramica Flaminia,68,2281,2006
16042,1117,Fröhlinger  Johannes,1985,Germany,SC Sarreguemines,67,32,2006
16059,1133,Moncoutié  David,1975,France,Cofidis,65,63,2006
16088,1159,Montaguti  Matteo,1984,Italy,Team 3C Casalinghi Jet,62,2145,2006
16106,1182,Wyss  Danilo,1985,Switzerland,,59,912,2006
16109,1182,Wiggins  Bradley,1980,Great Britain,Cofidis,59,47,2006
16128,1202,Oroz  Juan José,1980,Spain,Kaiku,57,62,2006
16139,1214,Canuti  Federico,1985,Italy,,56,1859,2006
16197,1272,Wyss  Marcel,1986,Switzerland,,52,894,2006
16294,1365,Geschke  Simon,1986,Germany,KED Bianchi Team Berlin,46,168,2006
16311,1384,Gène  Yohann,1981,France,Bouygues Telecom,45,904,2006
16332,1408,Zeits  Andrey,1986,Kazakhstan,,43,737,2006
16382,1453,Fuglsang  Jakob,1985,Denmark,Team Designa Køkken,40,264,2006
16383,1453,Koren  Kristjan,1986,Slovenia,Sava,40,782,2006
16433,1509,Kochetkov  Pavel,1986,Russia,,37,2320,2006
16453,1519,Galland  Jérémie,1983,France,C.C.Nogent-sur-Oise,36,959,2006
16587,1649,Malacarne  Davide,1987,Italy,Zalf Desiree Fior,30,759,2006
16628,1683,Meier  Christian,1985,Canada,Symmetrics Cycling Team,29,355,2006
16644,1709,Nordhaug  Lars Petter,1984,Norway,Team Maxbo - Bianchi,28,408,2006
16645,1709,Turgot  Sébastien,1984,France,Vendee U,28,522,2006
16646,1709,Kangert  Tanel,1987,Estonia,UC Artix,28,1018,2006
16700,1776,Bodnar  Maciej,1985,Poland,,26,361,2006
16881,1946,Kruijswijk  Steven,1987,Netherlands,Van Vliet - EBH Advocaten,21,730,2006
16911,1966,Smukulis  Gatis,1987,Latvia,UC Sud Luberon - Lotus - MBK,20,849,2006
16954,2005,Moreno  Javier,1984,Spain,Grupo Nicolas Mateos,19,2118,2006
17248,2297,Caruso  Damiano,1987,Italy,Unidelta GLS Garda,13,1006,2006
17677,2698,Stetina  Peter,1987,USA,Team TIAA - CREF,8,771,2006
17748,2827,Veilleux  David,1987,Canada,,7,1012,2006
17749,2827,Marangoni  Alan,1984,Italy,,7,1861,2006
17868,2827,Gruzdev  Dmitriy,1986,Kazakhstan,Cycling Team Capec,7,5836,2006
18035,3112,Benedetti  Cesare,1987,Poland,,5,3224,2006
18126,3112,Benedetti  Cesare,1987,Poland,,5,3224,2006
18225,3260,De Marchi  Alessandro,1986,Italy,,4,3103,2006
18503,3456,Dempster  Zakkari,1987,Australia,Drapac - Porsche,3,2396,2006
18565,3456,Simon  Julien,1985,France,Súper Sport 35 - ACNC,3,964,2006
18568,3456,Dempster  Zakkari,1987,Australia,Drapac - Porsche,3,2396,2006
18880,3961,Swift  Ben,1987,Great Britain,,1,828,2006
18925,3961,Swift  Ben,1987,Great Britain,,1,828,2006
19125,3961,Swift  Ben,1987,Great Britain,,1,828,2006
19324,9,Cunego  Damiano,1981,Italy,Lampre-Fondital,1831,149,2007
19336,21,Hushovd  Thor,1978,Norway,Crédit Agricole,1452,118,2007
19339,24,O'Grady  Stuart,1973,Australia,Team CSC,1240,15,2007
19342,27,Gusev  Vladimir,1982,Russia,Discovery Channel,1187,482,2007
19347,32,Cooke  Baden,1978,Australia,Unibet.com,1110,388,2007
19353,38,Pellizotti  Franco,1978,Italy,Liquigas,1056,134,2007
19354,39,Cobo  Juan José,1981,Spain,Saunier Duval - Prodir,1032,288,2007
19357,42,Rojas  José Joaquin,1985,Spain,Caisse d'Epargne,1002,116,2007
19359,44,Cancellara  Fabian,1981,Switzerland,Team CSC,984,12,2007
19363,48,Moreno  Daniel,1981,Spain,Relax - GAM,951,335,2007
19364,49,Steegmans  Gert,1980,Belgium,Quick Step - Innergetic,941,175,2007
19367,52,López  David,1981,Spain,Caisse d'Epargne,921,336,2007
19370,54,Rodríguez  Joaquim,1979,Spain,Caisse d'Epargne,909,246,2007
19371,56,Cavendish  Mark,1985,Great Britain,T-Mobile Team,905,14,2007
19375,60,Ciolek  Gerald,1986,Germany,T-Mobile Team,884,20,2007
19387,72,Eisel  Bernhard,1981,Austria,T-Mobile Team,803,93,2007
19396,80,Kiryienka  Vasil,1981,Belarus,Tinkoff Credit Systems,771,402,2007
19398,83,Gesink  Robert,1986,Netherlands,Rabobank,767,41,2007
19399,84,Horner  Chris,1971,USA,Predictor - Lotto,758,323,2007
19400,85,Burghardt  Marcus,1983,Germany,T-Mobile Team,757,92,2007
19402,87,Kashechkin  Andrey,1980,Kazakhstan,Astana,746,250,2007
19403,88,Tjallingii  Maarten,1977,Netherlands,Skil - Shimano,742,601,2007
19408,93,Brajkovic  Janez,1983,Slovenia,Discovery Channel,717,252,2007
19411,96,Visconti  Giovanni,1983,Italy,Quick Step - Innergetic,706,486,2007
19419,104,Ignatiev  Mikhail,1985,Russia,Tinkoff Credit Systems,684,71,2007
19420,105,Richeze  Maximiliano,1983,Argentina,Ceramica Panaria - Navigare,681,624,2007
19422,107,Chavanel  Sylvain,1979,France,Cofidis,672,167,2007
19423,108,Zubeldia  Haimar,1977,Spain,Euskaltel-Euskadi,671,87,2007
19426,111,Hincapie  George,1973,USA,Discovery Channel,661,10,2007
19432,117,Kreuziger  Roman,1986,Czech Republic,Liquigas,639,36,2007
19435,120,Millar  David,1977,Great Britain,Saunier Duval - Prodir,634,43,2007
19440,125,Popovych  Yaroslav,1980,Ukraine,Discovery Channel,627,5,2007
19443,128,Arroyo  David,1980,Spain,Caisse d'Epargne,613,109,2007
19449,134,Bozic  Borut,1980,Slovenia,Team LPR,606,387,2007
19453,138,Renshaw  Mark,1982,Australia,Crédit Agricole,595,97,2007
19457,141,Mori  Manuele,1980,Italy,Saunier Duval - Prodir,576,492,2007
19458,143,Fischer  Murilo,1979,Brazil,Liquigas,572,130,2007
19462,147,Zabriskie  David,1979,USA,Team CSC,565,48,2007
19473,158,Scarponi  Michele,1979,Italy,Acqua e Sapone,536,27,2007
19489,174,Pineau  Jérôme,1980,France,Bouygues Telecom,497,182,2007
19499,183,Szmyd  Sylwester,1978,Poland,Lampre-Fondital,488,360,2007
19501,186,Brutt  Pavel,1982,Russia,Tinkoff Credit Systems,480,557,2007
19505,190,Posthuma  Joost,1981,Netherlands,Rabobank,471,79,2007
19516,201,Charteau  Anthony,1979,France,Crédit Agricole,442,677,2007
19520,205,Dupont  Hubert,1980,France,AG2R Prévoyance,433,186,2007
19524,209,Sørensen  Nicki,1975,Denmark,Team CSC,429,16,2007
19530,215,Ten Dam  Laurens,1980,Netherlands,Unibet.com,421,80,2007
19550,235,Clement  Stef,1982,Netherlands,Bouygues Telecom,379,81,2007
19560,244,Goss  Matthew,1986,Australia,Team CSC,373,512,2007
19565,250,Kroon  Karsten,1976,Netherlands,Team CSC,366,248,2007
