YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2021,22.03-28.03,2.UWT,Volta Catalunya,A. Yates,https://firstcycling.com/race.php?r=14&y=2021
2021,24.03,1.UWT,Classic Brugge-De Panne,S. Bennett,https://firstcycling.com/race.php?r=40&y=2021
2021,26.03,1.UWT,E3 Saxo Classic,K. Asgreen,https://firstcycling.com/race.php?r=47&y=2021
2021,28.03,1.UWT,Gent - Wevelgem,W. van Aert,https://firstcycling.com/race.php?r=7&y=2021
2021,31.03,1.UWT,Dwars door Vlaanderen,D. van Baarle,https://firstcycling.com/race.php?r=75&y=2021
2021,04.04,1.UWT,Ronde van Vlaanderen,K. Asgreen,https://firstcycling.com/race.php?r=5&y=2021
2021,05.04-10.04,2.UWT,Itzulia Basque Country,P. Roglic,https://firstcycling.com/race.php?r=6&y=2021
2021,18.04,1.UWT,Amstel Gold Race,W. van Aert,https://firstcycling.com/race.php?r=9&y=2021
2021,21.04,1.UWT,La Flèche Wallonne,J. Alaphilippe,https://firstcycling.com/race.php?r=10&y=2021
2021,25.04,1.UWT,Liège-Bastogne-Liège,T. Pogacar,https://firstcycling.com/race.php?r=11&y=2021
2021,27.04-02.05,2.UWT,Tour de Romandie,G. Thomas,https://firstcycling.com/race.php?r=12&y=2021
2021,08.05-30.05,2.UWT,Giro d'Italia,E. Bernal,https://firstcycling.com/race.php?r=13&y=2021
2021,30.05-06.06,2.UWT,Critérium du Dauphiné,R. Porte,https://firstcycling.com/race.php?r=15&y=2021
2021,06.06-13.06,2.UWT,Tour de Suisse,R. Carapaz,https://firstcycling.com/race.php?r=16&y=2021
2021,26.06-18.07,2.UWT,Tour de France,T. Pogacar,https://firstcycling.com/race.php?r=17&y=2021
2021,31.07,1.UWT,San Sebastian Klasikoa,N. Powless,https://firstcycling.com/race.php?r=18&y=2021
2021,09.08-15.08,2.UWT,Tour de Pologne,J. Almeida,https://firstcycling.com/race.php?r=19&y=2021
2021,14.08-05.09,2.UWT,Vuelta a España,P. Roglic,https://firstcycling.com/race.php?r=23&y=2021
